text	proposal	narration	posEmotion	Qjustification	negEmotion	argumentative	empathy	EN_translation
"Ich unterstütze die Feststellung des Fortbestands der energiewirtschaftlichen Notwendigkeit des Braunkohlenabbaus im rheinischen Revier.
Die Energievorräte der Region sind vergleichbar mit den Ölvorkommen in Saudi Arabien und haben damit für uns ein enorme volkswirtschaftliche Bedeutung.
Auch in Zeiten des Energiewandels hin zu einer bestmöglichen Nutzung erneuerbarer Energieträger brauchen wir fossile Energieträger auch weiterhin als Brückentechnologie und zur Gewährleistung einer stabilen Stromversorgung.
Die dazu im rheinischen Revier eingesetzten Abbau- und Verstromungstechnologien setzen Weltstandards in Effizienz und Umweltverträglichkeit.
Gleiches gilt für die Rekultivierung.
Aus meiner Sicht wäre es unverantwortlich, diese hohe eigenständige Energiekompetenz aufzugeben.
Die Konsequenz wäre eine wachsende Abhängigkeit von Stromimporten aus dem Ausland zu technischen Standards, die weit hinter unseren zurückbleiben.
Insofern sehe ich die mit der Leitentscheidung einhergehende Verkleinerung des Abbaugebiets sehr kritisch.
Für den Betreiber bedeutet dies langfristige wirtschaftliche Nachteile, die die mit sinkenden Strompreisen ohnehin stark unter Druck geratene Braunkohleverstromung weiter schwächen.
Dieses politische Signal geht eindeutig in die falsche Richtung!"	0	0	0	0	0	1	0	"I support the finding that lignite mining in the Rhineland is still necessary for the energy industry.
The region's energy reserves are comparable to the oil deposits in Saudi Arabia and are therefore of enormous economic importance to us.
Even in times of energy transition towards the best possible use of renewable energy sources, we still need fossil fuels as a bridging technology and to ensure a stable supply of electricity.
The mining and power generation technologies used for this purpose in the Rhenish mining area set world standards in efficiency and environmental compatibility.
The same applies to recultivation.
In my view, it would be irresponsible to give up this high level of independent energy expertise.
The consequence would be a growing dependence on electricity imports from abroad at technical standards that fall far short of ours.
In this respect, I take a very critical view of the reduction in the size of the mining area that goes hand in hand with the lead decision.
For the operator, this means long-term economic disadvantages that will further weaken lignite-based power generation, which is already coming under severe pressure as electricity prices fall.
This political signal is clearly going in the wrong direction!"
Mit langwierigen Folgen haben wir erst recht im Zuge des lebens- und umweltzerstörenden Braunkohleabbaus und ihrer Verstromung zu tun ebenso wie bzgl der Risiken der Atomkraft sowie der völlig ungelösten Endlagerfrage...das war also ein denkbar schwaches Argument	0	0	0	0	0	1	0	We have to deal with long-lasting consequences in the course of the life- and environment-destroying lignite mining and its power generation as well as with the risks of nuclear power and the completely unresolved question of final storage...so this was a very weak argument
"Es sind 400.000.000 Tonnen.
Das ist ein Drittel des Kohleinhalts von Garzweiler II."	0	0	0	0	0	1	0	"It's 400,000,000 tons.
That's one third of the coal content of Garzweiler II."
"Sehr geehrte Damen und Herren, ich plädiere für einen sozial verträglichen Ausstieg aus dem Braunkohleabbau und sowie aus der Kohleverstromung, je früher je besser.
Weil:
1) Braunkohleverstromung im vergangenen Jahr 15 Milliarden deutsche Steuergelder gebraucht hat/ 9,9 Ct/kWh.
2) Die Decarbonisierung angefangen hat.
Die Allianzversicherung hat sich von Kohlenaktien zurückgezogen.
3) Die Braunkohle ist die schädlichste fossile Energieträger.
Deutschlands CO2-Emissionen sind in den letzten Jahren gestiegen.
Braunkohle verursacht 50% der Quecksilber-emissionen, Sulfat-und Eisenbelastungen in Gewässern und gesundheitsschädliche Feinstaub in der Luft.
4) Braunkohle beschleunigt die Klimaerwärmung, d.h. Dürren, Überschwemmungen, Starkregen, Orkane/Hurricans mit nie davor auftretender destruktive Kraft."	1	0	0	0	0	1	0	"Ladies and Gentlemen, I plead for a socially acceptable phase-out of lignite mining and as well as coal-fired power generation, the sooner the better.
Because:
1) Lignite-fired power generation needed 15 billion German tax money last year/ 9.9 Ct/kWh.
2) Decarbonization has started.
Alliance insurance has withdrawn from coal shares.
3) Lignite is the most harmful fossil fuel.
Germany's CO2 emissions have increased in recent years.
Lignite causes 50% of mercury emissions, sulfate and iron pollution in water bodies and harmful particulate matter in the air.
4) Lignite accelerates global warming, i.e. droughts, floods, heavy rains, hurricanes with destructive force never before experienced."
"Mit ""Versorgungslücken"" bei Solarstrom von zur seit 18 Stunden pro Tag und der letzte Wind ist auch schon ein paar Tage her, freut sich jeder osteuropäische Gaslieferant."	0	0	0	0	0	1	0	"With ""supply gaps"" with solar electricity of to since 18 hours per day and the last wind is also already a few days ago, every Eastern European gas supplier is pleased."
Heimat ist mehr als die vertrauten vier Wände und der Kirchturm.	0	0	0	0	0	0	0	Home is more than the familiar four walls and the church steeple.
"Eine schnelle und offensichtlich nicht weitgedachte Umsetzung öffentlichkeitswirksamer Ziele bringt niemanden weiter.
Unsere Abhängigkeit von Stromimporten wächst, der Strom wird teurer, was nicht nur „schlecht“ für den Endkunden, sondern auch für die Industrie ist.
Die Zeit die deutsche Energiewirtschaft zu „erneuern“ ist sicherlich gekommen.
An vielen Stellen wird aber gehandelt ohne über die Folgen des Handelns nachzudenken.
Warum höre und lese ich fast nur Kommentare wie „Entweder – Oder“, anstatt „Gemeinsam“.
Ist das das Vorbild das wir auch innerhalb der Europäischen Union sein wollen?
Die regenerativen Energieträger können ihren Beitrag zur deutschen Stromerzeugung leisten doch fehlen Deutschland für eine langfristige, effektive und bezahlbare Versorgung noch grundlegende Bausteine, angefangen bei der Speicherung.
Im rheinischen Braunkohlenrevier liegt hingegen die Infrastruktur und die Technik vor ein verlässlicher Partner bei der Energiewende zu sein.
Die Leitentscheidung agiert genau gegen den letzten Punkt.
Sie zeigt wie sehr es um eine Planungssicherheit steht, ohne die kein wirtschaftliches Unternehmen langfristig handeln kann.
Das Potential zur stofflichen Nutzung der Braunkohle wird ebenfalls eingeschränkt, warum?
Die hier dargelegte Begründung überzeugt mich nicht.
Eine Ausweitung des Mindestabstands auf 400 m muss überdacht werden.
Besonders in Kombination mit den weiteren Forderungen der Leitentscheidung die zur Beschreibung des Restsees beitragen.
Hier stellt sich bei mir der Verdacht ein, dass die Punkte einzeln aufgeschrieben aber nicht zusammen ausgearbeitet wurden."	1	0	0	1	0	1	0	"A quick and obviously not far-thought implementation of publicity-grabbing goals does not bring anyone forward.
Our dependence on electricity imports is growing, electricity is becoming more expensive, which is not only ""bad"" for the end customer, but also for industry.
The time to ""renew"" the German energy industry has certainly come.
In many places, however, action is being taken without thinking about the consequences of the action.
Why do I hear and read almost only comments like ""Either - Or"", instead of ""Together"".
Is this the model we want to be within the European Union?
Renewable energy sources can make their contribution to German power generation, but Germany still lacks fundamental building blocks for a long-term, effective and affordable supply, starting with storage.
In the Rhenish lignite mining region, on the other hand, the infrastructure and technology are in place to be a reliable partner in the energy transition.
The lead decision acts precisely against the last point.
It shows the extent to which planning security is needed, without which no commercial enterprise can act in the long term.
The potential for material use of lignite is also being restricted, why?
I am not convinced by the rationale presented here.
An extension of the minimum distance to 400 m must be reconsidered.
Especially in combination with the further demands of the guiding decision that contribute to the description of the residual lake.
Here the suspicion arises with me that the points were written down individually but not worked out together."
"Sie treffen den Nagel auf den Kopf.
Die Physik des Betriebes eines Drehstromnetzes ist nicht idiologisch manipulierbar.
Was mich umtreibt ist die Frage, wie dieses Basiswissen  über Stronerzeugung und Stromverteilung größeren Eingang in die veröffentlichte Meinung finden kann.
Solange in der Öffentlichkeit nicht mehr Aufklärung und Sacherverhaltskenntnisse in Stromfragen vorhanden sind, wird der Glaube an die unbegrenzten Möglichkeiten des regenerativ erzeugten Stromes  unerschütterlich bleiben."	0	0	0	0	0	1	0	"You hit the nail on the head.
The physics of operating a three-phase grid cannot be idiologically manipulated.
What gets me is how this basic knowledge of stron generation and power distribution can find greater entrance into published opinion.
As long as there is not more public education and factual knowledge on electricity issues, the belief in the unlimited possibilities of renewable generated electricity will remain unshakable."
"Braunkohle zur langfristigen Sicherung der Stromversorgung??
Sie wissen aber wohl, dass die Braunkohlevorräte endlich sind?
Das Einzige, was Sie ""langfristig"" sichern möchten, ist der Erhalt Ihres Arbeitsplatzes!"	0	0	0	1	1	1	0	"Lignite to secure long-term power supply???
But you probably know that lignite reserves are finite?
The only thing you want to secure ""long term"" is to keep your job!"
"Ihre Vorstellungen sind schön und gut, aber leider völlig weltfremd.
Mit dem Thema hat das auch nicht viel zu tun, da zuverlässige Energie immer gebraucht wird und wenn weniger gebraucht wird, was zu begrüßen ist, hält sie eben länger."	0	0	0	0	0	1	0	"Your ideas are all well and good, but unfortunately completely unworldly.
It doesn't have much to do with the topic, because reliable energy is always needed and if less is needed, which is to be welcomed, it lasts longer."
