cleaned_comment	orig_lang	speech	cGood
Yes, I think it is difficult to make such considerations, because the cost of living or the level of living in general - if you want to compare everything with each other, then you have to admit that the Germans in Germany live better with their income than the Poles with their income, which is considerably lower - even if many expenses are correspondingly lower.	de	[26:58] Ja ich glaube solche Überlegungen anzustellen sind schwierig, denn die Lebenshaltungskosten oder überhaupt das Lebensniveau – wenn man das jetzt alles miteinander vergleichen will, dann muss man doch zugeben, dass die Deutschen in Deutschland mit ihren Einkünften besser leben, als die Polen mit ihren doch sehr erheblich darunter liegenden Einkünften – auch wenn viele Ausgaben eben entsprechend niedriger sind. [27:32]	0
I think this question about the control of the influx of immigrants. How can we control it? How can we do selection between the immigrants? I think it is a good question and I was intrigued by that. I would like to get an answer for this question.	pl	[53:52]I think this question about the control of the influx of immigrants. How can we control it? How can we do selection between the immigrants? I think it is a good question and I was intrigued by that. I would like to get an answer for this question.[54:13]	0
"I will be brief. The theme is always the same. We are talking about the second generation. And there is also the second in France, the third. And the second generation in France, we are talking about another type of immigration. [...] there was the Portuguese immigration in times of ""thin cow"". There are many Portuguese who left for France. And finally there are many people who have French citizenship and do not return to Portugal. But this is perhaps the most serious problem that affects Portugal. This is the problem that our colleague has placed here. And it is a very serious problem. I know about it because I have many American friends. Friends of all ages. And I know that there are a lot of parents who came to work and they really, they are forced... finally the children do not follow the parents. It's the same thing in the United States, so there's a certain ghetto that's created with very specific cultures sometimes from the United States itself but mixed with African practices. There is even a certain hatred towards Portuguese that is quite serious. So this is sometimes against the opinion of their parents. They content what the parents have sown? I have a sense there. I really feel that it is very difficult for me to say whose fault it is, finally. That's the question I don't know. This question comes from the questionnaire and I don't know how to answer. It's a serious problem, it's a problem that makes me really sad. I'm not really a racist but it's a very serious problem. I don't agree with the American solution of sending this person back to their country. Because that's what we do, that's what parents and children separate. I don't agree with that. But I honestly don't know if there's a solution to this problem. So I don't know. I don't have a solution. It's always immigration. It's second generation immigration. And this is a very serious problem that has really... we have this in the Lisbon area, for example. Around Lisbon. There is always a concentration. And then there are customs, there are really different behaviors of the Portuguese and it's really the war that still exists. And now I wanted to finish, well.   I see all this. The whites that live in this area don't end up healing, the behavior of this group. So it can really start in the school. We really need to do something to solve the situation, because it's a very, very serious situation. [16.00]"	fr	[12 :26] Je serais bref. La thématique c’est toujours la même. On parle ici de la deuxième génération. Et il y a aussi la deuxième en France, la troisième. Et la deuxième génération en France, nous parlons d’un autre type d’immigration. […] existait l’immigration portugaise en temps de « vache maigre ». Il y a beaucoup des portugais qui sont partis en France. Et finalement il y a beaucoup des personnes qui ont la citoyenneté française et ne retournent plus au Portugal. Mais cela, c’est peut-être le problème le plus grave qui affecte Portugal. C’est le problème que notre collègue a placé ici. Et c’est un problème très grave. Je sais de cela parce que j’ai beaucoup des amis américains. Des amis de tous les âges. Et je sais qu’il y a beaucoup des parents qui sont venus pour travailler et qu’ont vraiment, ils sont de forcé… finalement les enfants ne suivent pas les parents. C’est la même chose aux Etats-Unis donc il y a un certain ghetto crée avec des cultures très spécifiques parfois des Etats-Unis même mais mélangé avec des pratiques africaines. Il y a même une certaine haine par rapport au portugais là assez grave. Donc cela c’est parfois contre l’opinion de leurs parents. Ils content ce que les parents l’entre a semis[ ?]. J’ai un sens là. Je sens vraiment cela c’est très difficile pour moi à dire à qui c’est la faute, finalement. C’est ça la question je ne sais pas. Cette question vient du questionnaire et je ne sais pas répondre. C’est un problème grave, c’est un problème qui me rend vraiment très triste. Je ne suis pas vraiment raciste mais c’est vraiment un problème très grave. Je ne suis pas d’accord avec la solution américaine de renvoyer cette personne à leur pays. Parce que c’est ce qu’on fait, c’est ce que les parents et les enfants séparent. Je ne suis pas d’accord avec ça. Mais sincèrement je ne sais pas s’il y a une solution à ce problème. Donc je ne sais pas. Je n’ai pas une solution. C’est toujours l’immigration. C’est l’immigration de la deuxième génération. Et là c’est un problème très grave qui a vraiment… nous avons ça dans la zone de Lisbonne, par exemple. Autour de Lisbonne. Il y a toujours une concentration. Et après il y a des coutumes, il y a vraiment des comportements différents des portugais et c’est vraiment la guerre qui existe toujours. Et maintenant je voulais terminer, bon. [15 :39] [15 :39] je vois tout cela. Les blancs que vivent dans cette zone finissent pas à guérir, le comportement de ce groupe-là.. Donc cela peut vraiment commencer à l’école. Il faut vraiment quelque chose pour solutionner la situation, parce que c’est une situation très, très grave. [16.00]	1
If the immigrants will work legally then taxes should be discharged. This will facilitate greatly the people to stay. If the employer hires black immigrants, we have to hail them and give a big penalty to them[employers] because the state loses, and so do ordinary citizens for whom we have to keep those immigrants later.	pl	[51:41]If the immigrants will work legally then taxes should be discharged. This will facilitate greatly the people to stay. If the employer hires black immigrants, we have to hail them and give a big penalty to them[employers] because the state loses, and so do ordinary citizens for whom we have to keep those immigrants later.[52:13]	0
Many people are coming to other countries not just because of economic reasons. Often, they are persecuted in their own countries on the religious grounds and they are trying to find asylum in another country. Then, the government should give them political asylum, papers or right of permanent residency and then they can work. For example Germany is rich enough to give jobs for immigrants and integrate them in the society because the society is aging and somebody has to work for the new generation which would like to get future pensions or something like that. Society is aging so they need immigrants. Similar to Poland where the government should legalize immigrants in a similar way. It is hard to say how it actually should look like.	pl	[11:21]Many people are coming to other countries not just because of economic reasons. Often, they are persecuted in their own countries on the religious grounds and they are trying to find asylum in another country. Then, the government should give them political asylum, papers or right of permanent residency and then they can work. For example Germany is rich enough to give jobs for immigrants and integrate them in the society because the society is aging and somebody has to work for the new generation which would like to get future pensions or something like that. Society is aging so they need immigrants. Similar to Poland where the government should legalize immigrants in a similar way. It is hard to say how it actually should look like.[12:18]	1
Yes. There is nothing left, but just to agree with this. However, I would like to respond to what Frans said. I would like to stress that it is good to have in mind that there is a difference between these groups of immigrants. I am referring to Muslims in plural. It is a vast group within which there are definitely some differences. At the same time, I think, that considering the present situation, when there are some difficulties with accommodation, e.g. there are 20 people living in an apartment being designed for 5 people – well, that is a problem. A problem for a neighbourhood, so the government or maybe even the European Commission should do something to improve those people’s situation in order to avoid conflicts. Those conflicts often result from the fact that too many people live on a small area. I assume that everyone knows Paris or Rotterdam. In those places there are districts with many houses in which no one should live. However, there are just too many people and this is what puts pressure on social issues. If we would be able to avoid it, we would have far less problems.	pl	[18:02] Yes. There is nothing left, but just to agree with this. However, I would like to respond to what Frans said. I would like to stress that it is good to have in mind that there is a difference between these groups of immigrants. I am referring to Muslims in plural. It is a vast group within which there are definitely some differences. At the same time, I think, that considering the present situation, when there are some difficulties with accommodation, e.g. there are 20 people living in an apartment being designed for 5 people – well, that is a problem. A problem for a neighbourhood, so the government or maybe even the European Commission should do something to improve those people’s situation in order to avoid conflicts. Those conflicts often result from the fact that too many people live on a small area. I assume that everyone knows Paris or Rotterdam. In those places there are districts with many houses in which no one should live. However, there are just too many people and this is what puts pressure on social issues. If we would be able to avoid it, we would have far less problems.  [19:33]	0
We raised some issues of a problem which concerns not only Slovenia and Poland. Some of the EU-countries have a much bigger problem with immigration policy, especially with illegal immigration. We red what is happening in Southern Italy where the immigrants arrive traversing the sea. So I think that our problems are smaller than other European countries.	pl	[39:01]We raised some issues of a problem which concerns not only Slovenia and Poland. Some of the EU-countries have a much bigger problem with immigration policy, especially with illegal immigration. We red what is happening in Southern Italy where the immigrants arrive traversing the sea.  So I think that our problems are smaller than other European countries.[39:41]	1
1007 I can only confirm that the situation for example in our country, Belgium is similar. As a matter of fact, from what I have heard, it is the same as in Holland. We have the administration of law, which is slow and needs time. This is really inordinateness and takes too much time. If one needs to wait years for any asylum decision, the person already integrates works and has children who attend school. And after six, seven or eight years, there is a decision that those people need to leave the country because they do not meet some asylum criteria. I think that it is an unfair situation. It should not be this way.	pl	1007[09:43] I can only confirm that the situation for example in our country, Belgium is similar. As a matter of fact, from what I have heard, it is the same as in Holland. We have the administration of law, which is slow and needs time. This is really inordinateness and takes too much time. If one needs to wait years for any asylum decision, the person already integrates works and has children who attend school. And after six, seven or eight years, there is a decision that those people need to leave the country because they do not meet some asylum criteria. I think that it is an unfair situation. It should not be this way. [00:30]	0
Yes, maybe what has stayed in my mind a little bit now, I would suggest that one pays attention that one does not... it seemed to me before that Christianity connects with that democratic values are possible and that this is not possible with Islam. The two religions are not so different, in fact they are very similar in some ways. And if you look at Christian history, it has very little to do with democracy. And I wouldn't play the two religions off against each other, because it's just as possible in Islam to live democratically and Muslims also have these as well as values and Islam and democracy are not mutually exclusive in my opinion. And when we say European values. What is that? There are 27 member countries where partly the mentalities within these member countries are very different. And where in the individual country, for example in Austria there are Austrian values, there are about 8 million Austrians, you could say there are 8 million different values in Austria. And as many different values as there are EU citizens. It is always the question, what do we mean by European values? What do we mean by adapting to these values? That comes out a bit, that only these common European values make democracy possible. I would like to question that, basically that this is the case. We put ourselves higher in Europe than we actually are.	de	[1:07:31] ja, was mir vielleicht jetzt ein Bisschen in Erinnerung geblieben ist, ich würde dazu anregen, dass man Acht gibt, dass man nicht… mir ist es vorher so vorgekommen, das Christentum verbindet mit dass da demokratische Werte möglich sind und dass das beim Islam nicht möglich ist. Die beiden Religionen sind sich nicht so unterschiedlich, sie sind sich teilweise sogar sehr ähnlich. Und wenn man die christliche Geschichte anschaut, die hat sehr wenig mit Demokratie zu tun. Und ich würde da nicht die beiden Religionen gegeneinander ausspielen, da es genauso im Islam möglich ist, demokratisch zu leben und auch Moslems diese wie auch Werte haben und sich Islam und Demokratie meiner Meinung nach nicht gegeneinander ausschliessen. Und wenn wir sagen, die europäischen Werte. Was ist das? Es gibt 27 Mitgliedsländer wo teilweise die Mentalitäten innerhalb dieser Mitgliedsländer sehr unterschiedlich sind. Und wo im einzelnen Land, zum Beispiel in Österreich gibt es österreichische Werte, es gibt ungefähr 8 Millionen Österreicher, man könnte sagen, es gibt 8 Millionen verschiedene Werte in Österreich. Und so viele verschiedene Werte wie es EU-Bürger gibt. Es ist immer die Frage, was meinen wir mit europäischen Werten? Was meinen wir damit, dass man sich an diese Werte anpassen soll? Das kommt so ein Bisschen raus, dass nur diese gemeinsamen europäischen Werte Demokratie ermöglichen. Ich möchte das in Frage stellen, grundsätzlich dass das so ist. Wir stellen uns da höher hin in Europa, als wir tatsächlich sind. [1:09:28]	0
I don't know, I would like to repeat what Monique said before. In any case, in the first instance, it would already be a really interesting strategy. What I think that in the [...], this is my opinion, I don't [...]. All the problems come from there, when there is a draught - and it might be necessary at the police level. In the whole of Europe I think it is necessary to harmonize the different police forces in the EU. In my opinion, it is necessary to be a little more severe at the level of the industry, because I think that for me, I have the feeling that the penalties are not so dissuasive. So that's my feeling.	fr	[10 :51] je ne sais pas, que je reconduise ce c’que disait Monique avant. En tout cas, dans un premier temps, ça serait déjà une stratégie vraiment filière. Ce que je pense que dans les […], c'est mon avis, je n’ai pas […]. Tous les problèmes viennent de là, quand il y a un appel d’air - et il serait peut-être nécessaire au niveau de police. Dans tout l’Europe je pense qui est nécessaire pour qu’il y ait une harmonisation au niveau des différentes polices de l’UE. Il faut arriver à mon avis à être un peu plus sévère au niveau de filière, quoi, parce que je pense que pour moi, j’ai le sentiment, les peines ne sont pas si dissuasives. Voilà, donc c'est mon sentiment. [11 :26]	0
