cleaned_comment	orig_lang	speech	interactivity	respect	storytelling	justification	cGood
Yes yes I read the document and that's how I understood but actually to some of the questions it was really unclear who exactly we're talking about, but thanks for the clarification.	fr	[16:25] Oui oui j’ai lu le document et c’est comme ça que j’ai comprit mais en fait à certaines questions ce n’étaient vraiment pas claire de qui on parle exactement, mais merci pour la clarification. [16:39]	0	1.0	0.0	0	0
Do the Chinese bother you because they are physically different and they don't look like you or is it because they are immigrants?	fr	[20:08] Les Chinois ils vous gênent parce qu’ils sont différents physiquement et ils vous ne ressemblent pas ou c’est parce que ce sont des immigrants ? [20:18]	2	1.0	0.0	0	0
I would say it's impossible to create laws that are rigid enough, it's useless. So the asylum in the churches, so we also did that at some point because the law wanted it but in the end, the family, they stay here and they have passports again and so they can go back to legality. As far as the illegals are concerned, in fact nobody really dares to do anything because there are also groups behind them, so passports are bought, transport tickets are sold, so who really dares to intervene in these areas? Because there is a whole mafia behind it and the mafia is behind it, it is everywhere, so in every product that we buy we actually pay a contribution to the mafia. It's quite simple. And so these illegals, and especially these human traffics, especially with women, are obviously a very profitable business and I want to see the first one who really dares to intervene. Because officially we can't do much, so the churches are working in the shadows and maybe we can do something, but then we'll have to have more financial means and then we have half a job and then it's reduced to a quarter job and then another ten volunteers who work, but that's the reality and that's where we have to act. I don't know how we can do it. Thank you anyway.	fr	[34:42] Je dirais qu’il est impossible de créer des lois qui soient suffisamment rigide, ça ne sert à rien. Donc l’asile dans les églises, donc on l‘a aussi fait à un certain moment parce que la loi le voulait mais pour finir, la famille, elle reste ici et elle a de nouveau des passeports et donc peut retrouver la légalité. En ce qui concerne les illégaux, enfaite personne n’ose vraiment faire quelque chose parce il y a aussi des groupements derrière, donc les passeports sont achetés, les tickets de transports sont vendues, donc qui est-ce que ose vraiment intervenir dans ces domaines-là ? Parce qu’il y a toute une mafia derrière et la mafia est derrière, elle est partout, donc dans chaque produit qu’on achète en réalité on paye une contribution à la mafia. Ce n’est qu’assez simple. Et donc ces illégaux et donc notamment ces traites humaines, notamment avec les femmes évidemment c’est un commerce très très rentable et je veux encore voire le premier qui ose vraiment intervenir. Parce que officiellement on ne peut pas faire grande chose, donc les églises travaillent dans l’ombre et on peut peut-être faire quelque chose, mais là il faudra avoir plus de moyens financières et donc à ce moment-là on a un demi-emploi et puis c’est réduit à un quart-emploi et puis encore une dizaine de volontaires qui travaille mais ça c’est la réalité et c’est là qu’il faut agir. Je ne sais pas comment on peut le faire. Merci en tout cas. [37:38]	2		0.0	3	0
I think if this possibility that we've been talking about, then that would be a very good idea, but of course that's very difficult to implement in practice.	de	[55:08] Ich glaube, wenn diese Möglichkeit, von der wir gesprochen haben, dann wäre das eine sehr gute Idee, aber das ist natürlich in der Praxis sehr schwierig umzusetzen. [55:19]	0	1.0	0.0	0	0
One more time I would like to say that immigrants are not only cheap labour. Immigrants are also people with a high education which can give a big potential to the country and bring kind of a new values. For example, I know some cases where people from Belarus assume law companies in Poland, which tightened relations between Poland and Belarus. They are creating many indicatives, for example construction enterprises. What I mean is that they are not coming only for strawberries harvest or construction works but they are also tightening international cooperation.	pl	[1:25:48]One more time I would like to say that immigrants are not only cheap labour. Immigrants are also people with a high education which can give a big potential to the country and bring kind of a new values. For example, I know some cases where people from Belarus assume law companies in Poland, which tightened relations between Poland and Belarus. They are creating many indicatives, for example construction enterprises. What I mean is that they are not coming only for strawberries harvest or construction works but they are also tightening international cooperation.[1:26:44]	2	2.0	1.0	2	1
I have friends from Latin America and many other places and they work and they pay in a pot. So, I'm a mother and well, unfortunately, if I have to go to another country, well, I try to integrate in the country I'm going to. I'm not going to go there, to impose my goals [?], my way of seeing, no. I'm going there to work and not to steal. And there is something else. But again, I'm holding back.	fr	[00 :51] J’ai des amis de l’Amérique Latine et de plusieurs autres endroits et qui travaillent et qui payent dans un pot. Alors, je sui mère de famille et bon, malheureusement, si je devrais partir dans un autre pays, et bien, j’essaye de m’intégrer dans le pays dans lequel je me rends. Je ne vais pas y aller, pour imposer mes goals[ ?], ma façon de voir, non. Je me vais y aller à travailler et pas à voler. Et il y a autre chose. Mais encore une fois, je me retiens. [01 :34]	2		1.0	1	0
"In response to that, the problem what I see with that is that we then act as a teacher. Well, I know this from the guidelines that the IMF has given to some countries, which first of all have gone down the drain and secondly - historian, if I'm wrong, please check or correct - I keep thinking of Africa, which is closer to me than Iraq or Afghanistan or something like that, that there is such a history of colonialism, ""they're telling us again what we should do"", and that there is a tremendous resistance to it. Nothing against control, that corruption doesn't take place, but to tell them what to do with the money, I don't think that's necessarily met with opposition."	de	[48:57] Als Antwort darauf, das Problem was ich dabei sehe, ist, dass wir dann als Lehrmeister auftreten. Also ich kenne das von Vorgaben, die der IWF an irgend welche Staaten gemacht hat, die erstens in die Hose gegangen sind und zweitens –  Historikerin, wenn ich falsch liege bitte kontrollieren, oder korrigieren – ich denke jetzt immer wieder an Afrika, das liegt mir näher als Irak oder Afghanistan oder sowas, dass da durch den Kolonialismus so eine Geschichte drin ist, „die sagen uns schon wieder, was wir tun sollen“, und dass da eine ungeheure Abwehr dagegen ist. Nichts gegen Kontrolle, das Korruption nicht stattfindet, aber zu sagen, was die mit dem Geld machen sollen, glaube ich stösst nicht unbedingt auf Gegenliebe. [49:40]	2	1.0	0.0	2	0
Yes, first of all, I would like to answer Angel. To the construction sector, as I said. I said that immigration should not be regulated by employers. Well immigration should be controlled by the rules, but then they are not set by the employers, of course. What I meant I also read out of the document. I was talking about job offers and so, but I also said that [there] should be very strict control at the entry and exit. In the sense that workers arriving at a certain time, because there was a certain construction project or something. An interesting possibility also just was, but now in the crisis, they are unemployed. Also in the construction sector. And when they are unemployed and no longer have a job, they already want to be granted the next work permit. It will not be renewed now unless you can present a document certifying that you have a job as well. As I said, control at the beginning and at the end as well. Control also in the area of too low wages.	de	[19:42] Ja, zunächst einmal möchte ich Angel antworten. Zum Bausektor, wie gesagt. Ich sagte, dass die Einwanderung nicht von den Arbeitgebern reguliert werden sollte. Naja die Einwanderung sollte kontrolliert werden von den Regeln, die dann aber nicht von den Arbeitgebern festgelegt werden, natürlich. Was ich meinte habe ich auch aus dem Dokument heraus gelesen. Ich sprach von Stellenangeboten und so, aber ich habe auch gesagt, dass [es] eine sehr strikte Kontrolle am Ein- und Ausgang geben sollte. In dem Sinne, dass die Arbeitnehmer, die zu einem bestimmten Zeitpunkten ankommen, da es da ein bestimmtes Bauprojekt gab oder so. Eine interessante Möglichkeit auch gerade war, aber jetzt in der Krise, sind sie arbeitslos. Auch im Bausektor. Und wenn sie erwerbslos sind und keinen Arbeitsplatz mehr haben, dann wollen sie schon die nächste Arbeitserlaubnis gewährt bekommen. Die wird jetzt nicht mehr erneuert, wenn man nicht ein Dokument vorlegen kann, das bescheinigt, dass man einen Arbeitsplatz auch hat. Wie gesagt, Kontrolle zu Beginn und am Ende auch. Kontrolle auch im Bereich allzu niedriger Löhne. [21:03]	2	1.0	0.0	1	0
I should actually stand by Günther a bit. His example with the apartment is exemplary - you have to see it that way. If he invites a visitor and they stay for an excessive amount of time, if he says so, the thing is over, now you have to go home and they stay - what does he do then? The same is what we say, he has his job, he was visiting, he did something, and then the visa expired, so then the party is over, why didn't he follow up the visa? I don't know the reasons, maybe someone can help me there, yes. Why he doesn't renew the visas. But basically, as an example, he is right. Who is overcharging, claiming my home, then I would have to take some measures - and if I invite him again, one of the three.	de	[38:51] Ich sollte dem Günther eigentlich ein Bisschen zur Seite stehen. Sein Beispiel mit der Wohnung ist doch beispielhaft – das muss man so sehen. Wenn er sich einen Besuch einlädt und der bleibt über Gebühr, wenn er sagt so, die Sache ist zu Ende, jetzt müsst ihr nach Hause gehen und sie bleiben – was macht er dann? Dasselbe ist das, was wir sagen, der hat seinen Arbeitsplatz, der war zu Besuch, hat etwas getan, und dann ist das Visum abgelaufen, dann ist also die Feier zu Ende, warum hat er das Visum nicht nachgeführt? Die Gründe kenne ich nicht, vielleicht kann mir da jemand helfen, ja. Warum er die Visa nicht verlängert. Aber im Grunde genommen hat er als Beispiel recht. Wer über Gebühr meine Wohnung belastet, beansprucht, dann müsste ich irgendwelche Massnahmen ergreifen – und wenn ich ihn wieder einlade, eins von den dreien. [39:51]	3	0.0	0.0	1	0
These people that are looking for a job and that do not find any in one of the EU countries do not depend on this country[?]. If certain person did not find a job in the EU country, he prefers to live in poverty, but in the EU because he is still better off than in the country where this person has been living before. If you have someone who has always lived in misery, even when this person has no work, it is not the slightest importance for him/her. If here is no work for this person and there, he/she did not have any as well, so here, he/she is anyway better off when he stays. I'm not saying that this person should get an apartment and have access to everything but still get a chance. Create any right for such people in the market which should be open for all and surely give such opportunities. Maybe this person will find work and employers should have the right to hire such a person if it has the appropriate qualifications.	pl	[58:14]These people that are looking for a job and that do not find any in one of the EU countries do not depend on this country[?]. If certain person did not find a job in the EU country, he prefers to live in poverty, but in the EU because he is still better off than in the country where this person has been living before. If you have someone who has always lived in misery, even when this person has no work, it is not the slightest importance for him/her. If here is no work for this person and there, he/she did not have any as well, so here, he/she is anyway better off when he stays. I'm not saying that this person should get an apartment and have access to everything but still get a chance. Create any right for such people in the market which should be open for all and surely give such opportunities. Maybe this person will find work and employers should have the right to hire such a person if it has the appropriate qualifications.[59:42]	0	1.0	0.0	2	2
