cleaned_comment	orig_lang	speech	interactivity
It's true that France has taken in a lot of people. This is also due to the fact that France has always had many colonies, and these people have always liked to visit their motherland, their homeland. So in Germany we didn't have this phenomenon, we had only a few small colonies that we already lost in the last century. So after the Second World War, which we lost - you all know, Germany was really about, Germany suffered, so I don't want to put us on a stall, not even talking about all the money we had to pay to foreign countries, but finally right away, Germany recovered already in the flashy years, We were able to live a first economic boom and we welcomed the first immigrants, it was mainly Italians in a first phase, then Spaniards, Portuguese, then Austrians, there were less certainly therefore from the flashy years, sixty in any case and they were welcome besides. Then, for a while, fewer people came, and then the Turks arrived en masse, but it was the Anatolian plateau that was recreated in Germany, and at that time, of course, the first Beurs, the first Hungarians, were born, and at that time we really had to begin to create this balance in society - we could compare it with the wave of Algerians who arrived in France, but well - we mustn't deviate too much from the subject, So we have to discuss among ourselves how we can welcome people in our country or how we can really ensure the existence of these people who arrive in our country in the short and medium term, or even until 2030, and then we have to distinguish once again between the legal and the illegal, as was said at the beginning. I would even go one step further and say that all those who want to come from Africa, for example, to our country now - for example Lampedusa, the Italian island which is almost overpopulated by Africans - how can we address these people? How can we tell them: we want to welcome you but not like this? These are not the right conditions. Now we don't have the possibilities.	fr	[24:39] Il est vrai que la France a accueilli énormément de personnes. Cela est également dû au faite que la France a toujours eu beaucoup de colonies, et ces gens-là ont toujours aimé visiter leur terre mère, leur patrie. Donc en Allemagne on n’a pas connu ce phénomène, on a eu que quelques petites colonies qu’on a déjà perdues au depuis du siècle. Donc après le deuxième guerre mondiale que nous avons perdus – vous le savez tous, l’Allemagne était vraiment about, l’Allemagne a souffert, donc je ne voudrais pas nous mettre sur un pied des stalles, même pas parler de tout l’argent que nous avons dû payer aux pays étrangers mais finalement tout de suite, l’Allemagne s’est récupéré déjà dans les années clinquantes, on a pu vivre un premier boom économique et on a accueilli les premiers immigrants, c’étaient surtout les Italiens dans une première phase, après des Espagnoles, des Portugais, ensuite les Autrichiens, on y avait moins certes donc à partir des années clinquantes, soixantes en tout cas et ils étaient les bienvenues d’ailleurs. Puis pendant tout un temps il y a eu moins qui sont venus et après ce sont les Turques qui sont arrivées de manière massive mais donc c’est le plateau de l’Anatolie en fait qui s’ait recrée en Allemagne et à ce moment-là, évidemment, ce sont les premiers Beurs, les premiers Hongrois qui sont né et à ce moment-là on a vraiment du commencer à créer cette équilibre dans la société à la limite – on la pourrait comparer avec la vague des Algériens qui sont arrivés en France mais bon – il ne faut non plus se dévier trop du sujet, donc il s’agit de discuter entre nous, comment pouvons-nous accueillir les gens chez nous ou comment pouvons-nous à court et à moyen terme ou même jusqu’au 2030 vraiment assurer l’existence de ces gens-là qui arrivent chez nous et puis il faut, une fois de plus, faire la distinction entre les légaux et les illégaux, comme cela était dit au début. Donc là également il faudrait voir quelles sont les solutions possibles afin que les gens ne soient pas justement des illégaux et j’irais même un pas plus loin en disant que tous ceux qui veulent venir par exemple de l’Afrique – chez nous maintenant – par exemple Lampedusa, l’île italienne qui est presque surpeuplé par les Africains – comment pouvons-nous nous adresser à ces gens-là ? Comment est-ce que nous pouvons leurs dire : nous voulons bien vous accueillir mais pas comme ça ? Ce ne sont pas les bonnes conditions. Là nous n’avons plus les possibilités. [27:55]	3
"Because of the people at the grassroots level, I would like to note that in Germany, for example, the ""Bild"" newspaper - I have nothing against the ""Bild"" newspaper personally - but I think it contributes a lot to the fact that perhaps a xenophobic image is created. For us Austrians, it's the Kronenzeitung that does that. But I think that these newspapers contribute significantly to the fact that it is difficult for foreigners to integrate, precisely because then resentment is quickly built up, which, if you read it every day, does not go away."	de	[1:05:33] Wegen der Menschen von der Basis möchte ich anmerken, dass zum Beispiel in Deutschland die „Bild“-Zeitung – ich habe jetzt nichts gegen die Bildzeitung persönlich – aber ich denke, die trägt doch sehr viel dazu bei, dass vielleicht ein ausländerfeindliches Bild entsteht. Das ist bei uns Österreichern die Kronenzeitung, die das macht. Aber ich glaub, dass diese Zeitungen massgeblich da beitragen, dass es schwierig ist, für Ausländer sich zu integrieren, eben weil dann schnell Ressentiments aufgebaut werden, die, wenn man sie jeden Tag liest, nicht wieder weg gehen. [1:06:11]	2
Our geographical situation in our islands is obviously different from that of the peninsula, we have not experienced problems with legal immigrants, who have been established for many years and the foreigners in our country have accepted and respected our customs in a way in the religious schools, even if they do not follow religious activities, but in no way have they wanted or asked that we remove our religious symbols. People have their own celebrations apart. But the question that arises now is not the legal immigration, but obviously the clandestine. Those who arrive without being asked, without being necessary. I don't know what happened; there was a month and a half or two months without any makeshift boats arriving here, although the method is favourable. So I am very surprised. But now we are in a situation - I don't know if we don't want to, but I speak for them - where they arrive in such a lamentable state. We can't even help them, they go straight to the internment center. Why did they leave   their country of origin. Why are they poor there? Well, they left because they can't live. So, it's a difficult situation to find a solution there. In the Canary Islands, the question of immigration is really serious because there is illegal immigration; the immigrants manage to flow the controls and then, above, obviously, there is delinquency and all the consequences of delinquency. And if they were welcomed, if they had any opportunity it would be better. And, again, we come to the question of work and there is no work for these people. Yes, they have priority in the nurseries, in the schools, for social housing and there are young people who are on the list for an apartment to start a family and they don't succeed. But a foreigner, an immigrant, can't do anything easily. And therefore it will create ill-being. The solution which is right, I do not know. But that's why we're here, to find a solution.	fr	[11 :39] Notre situation géographique dans nos Iles évidemment est différente de celles de la péninsule, nous n’avons pas connu des problèmes avec les immigrés légaux, qui sont des gens établi depuis plusieurs année et les étrangers chez nous ont accepté et respecté nos coutumes dans une façon dans les écoles religieuses, même s’ils ne suivent pas les activités religieuses, mais en aucune manière, ils ont voulu ou demandé que on ôte nos symboles religieux. Les gens ils ont leur propres célébrations à part. Mais la question qui se pose maintenant, ce n’est pas l’immigration légale, mais évidemment la clandestine. Ceux qui arrivent sans être demander, sans être nécessaire. Je ne sais pas ce qui s’est passé ; il y avait un mois et demi ou deux mois sans que aucune embarcation de fortune soit arrivé  chez nous alors que la méthode est  propice. Donc je suis très étonnée. Mais on arrive actuellement à une situation – je ne sais pas si on ne veut pas mais je parle pour eux  mêmes, ils arrivent dans un état tellement lamentable. On ne peut pas même les aider, ils vont directement dans le centre d’internement. Pourquoi ont-ils quitté [13 :10] [00 :00] leur pays d’origine. Pourquoi sont-ils pauvres là-bas ? Bien, ils sont parti parce qu’ils ne peuvent pas vivre. Donc, c’est une situation difficile de trouver une solution là. Dans les Îles Canaries, la question de l’immigration est vraiment grave parce qu’il y a d’immigration illégale ; les immigrés parviennent affluer les contrôles et puis, au-dessus, évidemment, il y a des délinquances et toutes les conséquences de la délinquance. Et s’ils étaient accueillis, s’ils avaient une opportunité quelconque ça serait mieux. Et, encore une fois, on arrive à la question du travail et il n’y a pas du travail pour ces gens. Oui, ils sont prioritaires  dans les crèches, dans les écoles, pour les logements sociales et il y a des jeunes qui sont dans des listes à l’appartement pour fonder une famille et ils n’y arrivent pas. Alors, qu’un étranger, un immigré il ne peut rien faire facilement. Et donc ça créera mal être. La solution laquelle est juste, je ne sais pas. Mais justement on s’est mis ici pour cela et c’est trouver une solution. [01 :10]	0
So, my colleague referred to something that I agree with. And I would like to elaborate on this. Of course, I am not saying that the European lifestyle is not good. Yes, it is good, we have to defend it. Different cultures don't scare me. Not at all, I like different cultures. I think that in Portugal we don't have problems of cultural differences so striking that we can't live together, no. We have always been an open people. We have always been an open people. We have been to Africa, India, South America, and so on. I myself was a consul in one of the Portuguese colonies in Africa, well, I was only eight months old when I went to mainland Portugal at the time . But I'm not going to go into detail now about these colonies. But what I want to tell you is the following: I saw a report in Spain, about two or three weeks ago, and the Spanish, you know, are living a deep crisis. Well, the world crisis, but in the developed countries. But in Spain, yes, in Europe, in Spain it is one of the hardest hit countries of all the other countries, well, not among the other countries, no. And Spanish people with all this unemployment... Spain in general and traditionally has a very high unemployment rate. And now very, very high. Higher than in other countries, exponentially so. And so, since they can't find work in their profession, let's say. They have their qualifications, they had jobs that they were not interested in. And those jobs that the Spanish didn't want were filled by immigrants.   and the Spanish authorities, despite all the show, the heat, in relation to immigration, have always accepted this immigration. And what I want to tell you is that despite the fact that the Spanish, even the Spanish citizens did not want, some time ago, before the great crisis, did not want certain jobs, certain jobs because they found it denigrating. Now they accept, they even look for jobs in the fields, in the vineyards, hard jobs where we earn our living, which were occupied by immigrants, by Africans, especially Moroccans. What is Spain going to do now with these people, these immigrants, these Moroccans, these sub-Saharan Africans who work in the fields when the Spanish didn't want to work? Are we going to send them home?   Well, we can talk here about a (...) of the world carrassions, of the universal human right, but what Jorge was saying here, we only talk about people based on numbers, on percentages: We have to be very careful with what we do. We cannot start from the end, we must start from the beginning. In Europe, some aspects of things are solved at the end. And at the end, it is too late. The great wars that existed in Europe after the second world war, it was the Americans who came? To fight them. So, Europe, this is to say, that Europe must speak with one voice. [1 :	fr	[1 :41 :34] Alors, mon collègue, il a ici fait référence à quelque chose avec laquelle je suis d’accord. Et j’aimerais encore approfondir. Evidemment, je ne suis pas en train de dire que le style de vie européen n’est pas bon. Si, il est bon, nous devons le défendre. Les cultures différentes ne m’effrayent pas. Pas du tout, j’aime les cultures différentes. Je pense qu’au Portugal on n’a pas des problèmes de différences de cultures tellement frappant qu’on ne puisse pas vivre ensemble, non. Nous avons toujours été un peuple ouvert. Nous avons été en Afrique, en Inde, en Amérique du sud, enfin. Moi-même, j’étais consul dans une des colonies portugaises en Afrique, enfin, je n’avais que huit mois quand je suis allé au Portugal continental a l’époque[ ?]. Mais je ne vais pas entrer dans le détail, maintenant à propos de ces colonies. Mais ce que je veux vous dire c’est le suivant : j’ai vu un reportage en Espagne, il y a un peu près de deux ou trois semaines, et les espagnoles, vous savez, vivent une crise profonde. Bon, la crise mondial, mais dans les pays développés. Mais en Espagne, si, en Europe, en Espagne c’est un des pays les plus frappés de tous les autres pays, enfin, pas parmi les autres pays, non. Et les espagnoles avec tout ce chômage… l’Espagne en générale et traditionnellement a un taux de chômage très élevé. Et maintenant très, très élevé. Plus élevé que dans les autres pays, de façon exponentielle. Et donc, puisqu’ils ne trouvent pas du travail dans leur métier, disons. Ils ont leur qualification, ils avaient des boulots qu’ils n’intéressaient pas. Et ces emplois que les espagnols ne voulaient pas étaient occupés par des immigrées. [1 :43 :59] [1 :44 :09] et les autorités espagnoles malgré tout le spectacle, le chauffent, par rapport à l’immigration, ont toujours acceptées cette immigration. Et ce que je veux vous dire, c’est que malgré le fait que les espagnols, même les citoyens espagnoles ne voulait pas, il y a quelque temps encore, avant la grande crise, ne voulait pas certains boulots, certains emplois parce que ils trouvaient ça dénigrant. Maintenant ils acceptent, ils vont même chercher les emplois dans les champs, dans les vignobles, des emplois durs ou on gagne notre vie, qui étaient occupés par les immigrées, par des africains, notamment des marocains. Qui fait-on maintenant, que va faire maintenant l’Espagne avec ces gens, ces immigrées, ces marocains, ces africains de sub-saharien qui travaillent dans les champs quand les espagnoles ne voulaient pas travailler ? On va les envoyer chez eux ? [1 :45 :11] [1 :45 :13] Bon, on peut bien parler ici d’un (…) du carrassions mondial, de l’universel droit de l’homme, mais ce que disait ici Jorge, on ne parle des gens que sur base de chiffres, des pourcentages : Nous devons êtres très attentives à ce que nous faisons. On ne peut pas partir par la fin, on doit commencer par le début. En Europe, certains aspects des choses, sont résolu à la fin. Et à la fin, c’est trop tard. Les grandes guerres qui ont existées en Europe après la deuxième guerre mondiale, ce sont les Américains qui sont venues[ ?]. Les combattre. Donc, l’Europe, ça pour dire, que l’Europe doit parler avec une seule voix. [1 :46 :04]	3
I don't think we can blame only ourselves. Because the people who come to us also marginalize themselves a lot. And you reach out to them, so I'm very integrated in schools and so on. And we see again and again, we approach people and they withdraw. And the reason is because the women, as they [MAN  already said that, they want it more, the men forbid it. It's not only the German that excludes people, they exclude themselves. And that's a very important point that you have to sort out somehow. Because the children, they suffer from it. The children want to and the children are not allowed to. It's so bad and I don't know where to start. It's right with the language, what they said. If the children come to school and they don't know German, Spanish or Italian, they shouldn't go to school, they should go to a year of preschool until they know the language. The children are often very, very intelligent, but because of the language problem they don't really keep up in school and are pushed further and further back. And I think that's such a shame. You have to give them a start. You have to say: ok, it doesn't matter, Americans, Frenchmen or whatever come to us, they all have to be able to speak the language if they want to live in Germany and go to a German school. And if not, do a year of preschool. That's not done. That carries through to higher grades, if the language is missing.	de	[55:12] ich finde, wir dürfen die Fehler nicht nur bei uns suchen. Denn die Menschen, die zu uns kommen, grenzen sich auch selbst viel aus. Und man geht auf sie zu, ich bin also sehr integriert in Schulen und so weiter. Und wir sehen immer wieder, wir gehen auf die Menschen zu und sie ziehen sich zurück. Und zwar aus dem Grund, weil die Frauen, wie sie [MAN 27:12] das schon gesagt haben, wollen das mehr, die Männer verbieten es. Es ist nicht nur der Deutsche, der die Leute ausgrenzt, sie grenzen sich selbst aus. Und das ist ein ganz wichtiger Punkt, den man irgendwie klären muss. Denn die Kinder, die leiden darunter. Die Kinder wollen und die Kinder dürfen nicht. Das ist so schlimm und ich weiss nicht, wo man da ansetzen muss. Es ist genau mit der Sprache, was sie gesagt haben. Wenn die Kinder in die Schule kommen und können die deutsche, die spanische oder die italienische Sprache nicht, sollte man sie nicht in die Schule aufnehmen, sonder in ein Jahr Vorschule geben, bis sie die Sprache beherrschen. Die Kinder sind oft sehr, sehr intelligent, aber sie kommen durch das Sprachproblem nicht richtig in der Schule mit und werden immer weiter zurück gedrängt. Und das finde ich so schade. Man muss ihnen da einen Start geben. Man muss sagen: ok, es ist egal, es kommen ja auch Amerikaner, Franzosen oder sonst was zu uns, sie müssen alle, wenn sie in Deutschland leben, in eine deutsche Schule wollen, die Sprache können. Und wenn nicht, ein Jahr Vorschule machen. Das ist nicht getan. Das zieht sich durch bis in höhere Klassen, wenn die Sprache fehlt. [56:52]	3
I also wanted to say that I agree with Jürgen. In the 70's there was a dictatorship in Spain and at that time there was a lack of work, so a lot of people went to Germany. A friend of mine went there for example and culturally - or France, there were many Spaniards - and now he has a pension, he worked in Munich for a long time and he also worked at the streetcar in Munich and he lived his life there, he has his children there, he lives there and then he moved to Frankfurt sometime in between, but he integrated and at a time when he was asked. And he has cleaned plates in restaurants and done all kinds of things, but depending on the development of the economic situation and his adaptation, he has naturalized there and now it has been better for him to stay in Germany than to come back to Spain. Well, what Jürgen said about the politicians who don't dare to say things that the people think, or maybe even the majority thinks, we have to see how semantically that can be delivered; how can you work to make sure that there are things that are negative, or sound negative, without it immediately sounding like discrimination when that is mentioned? There you have to ask yourself if people would be interested in what people think, otherwise you just behave demagogically and then you don't represent the people. I think what Jürgen said; which is really very important to me, the politicians don't listen, don't want to know what the people want. We are not represented. There are so common opinions - I don't remember your name - but people come to us because they have to. They are in a state where they need that. If you live in Senegal and you are starving, you try to find a way out. And we have to understand that what we offer them is really something great. But now we don't offer anything to anyone. And then what do they get? Then they become beggars, or thieves, or something else. We just have to see what kind of people there are in the country, where they come from everywhere, and their children. These people will be the first who will never find a job, because they are not integrated, culturally speaking, and they will be marginalized. What are we going to do with those people then? I don't think they're going to turn into very much.	de	[01:04:26] Ich wollte auch sagen, dass ich mit Jürgen einverstanden bin. In den 70er Jahren gab es in Spanien eine Diktatur und damals gab es einen Mangel an Arbeit, da gingen viele Leute nach Deutschland. Ein Freund von mir ging da hin zum Beispiel und kulturell gesehen – oder Frankreich, da gab es viele Spanier – und jetzt hat er eine Rente, er hat lange in München gearbeitet und er hat auch bei der Strassenbahn in München gearbeitet und der hat da sein Leben geführt, der hat da seine Kinder, er lebt da und ist dann nach Frankfurt gezogen irgendwann dazwischen, aber er hat sich integriert und das zu einer Zeit, wo er gefragt wurde. Und er hat Teller geputzt in Restaurants und alles mögliche getan, aber je nach Entwicklung der wirtschaftlicher Lage und seiner Anpassung, hat er sich da eingebürgert und jetzt ist es ihm lieber gewesen, in Deutschland zu bleiben als nach Spanien zurückzukommen. Nun, was Jürgen sagte zu den Politikern, die sich nicht trauen, Sachen zu sagen, die das Volk denkt, oder vielleicht sogar die Mehrheit denkt, da müssen wir sehen, wie semantisch das überbracht werden kann; wie kann man daran arbeiten, dass es Dinge gibt, die negativ sind, beziehungsweise klingen, ohne dass das sofort nach Diskriminierung klingt wenn das erwähnt wird? Da muss man sich fragen, ob die Leute sich dafür interessieren würden, für was die Leute denken, sonst benimmt man sich nur demagogisch und dann vertritt man die Leute nicht. Ich glaube, was Jürgen gesagt hat; was mir wirklich sehr wichtig ist, die Politiker hören nicht zu, wollen nicht wissen, was die Leute wollen. Wir werden nicht vertreten. Es gibt so allgemein verbreitete Meinungen - ich weiss nicht mehr wie du heisst - aber die Leute kommen zu uns weil sie zu uns müssen. Sie befinden sich ja in einem Zustand wo sie das brauchen. Wenn du in Senegal lebst und da verhungerst, da versuchst du da einen Ausweg zu finden. Und wir müssen ja verstehen dass das, was wir denen anbieten, wirklich etwas Tolles ist. Aber jetzt bieten wir keinem irgendetwas. Und was gibt es dann? Dann werden sie zu Bettlern, oder Diebe oder sonst etwas. Da brauchen wir nur zu sehen, was es im Land für Leute gibt, wo die überall herkommen und ihre Kinder. Die Leute werden die ersten sein, die niemals eine Arbeitsstelle finden werden, weil sie auch nicht integriert sind, kulturell gesehen nun mal und da werden sie marginalisiert. Was werden wir dann mit den Leuten tun? Ich glaube, aus denen wird nicht sehr viel. [01:07:52]	3
The politicians listen to the people were advised. I don't think, so that's not happening in Denmark especially. Because if you look at what's happened in the last few years, you find that the politicians have listened to the people. A line has been drawn, a debate has been held about integrating migrants into our society. I would like to say that some countries tend to think that the woman should take care of the house and the children and not put her nose outside the door. But that is certainly a big problem. The children who then grow up with us in Denmark are influenced by this and we see that Muslims have an influence. Then of course they become more moderate, the Muslims who come to us. Because they see how it works here. They get jobs, but they are very smart, they can work very well with their hands as well as with their heads. What I would like to say is that the problems in Denmark are solved by setting up a crisis center for women. Young women from Muslim families can come there and they don't want to be forced to marry someone they don't want. There are people who want to swim against the tide, they don't want to take on the role that is performed [presented] to them.	de	[01:10:05] Die Politiker hören den Leuten zu wurde geraten. Ich glaube nicht, also das passiert in Dänemark zumal nicht. Denn wenn man sieht, was in den letzten Jahren passiert ist, da stellt man fest, dass  die Politiker der Bevölkerung zugehört haben. Es ist ein Strich gezogen worden, eine Debatte ist geführt worden um Migranten zu integrieren in unserer Gesellschaft. Ich möchte sagen, dass manche Länder dazu neigen, dass die Frau sich um das Haus und die Kinder kümmern soll und die Nase nicht vor die Tür tun soll. Aber das ist sicher ein grosses Problem. Die Kinder, die dann bei uns in Dänemark gross werden, werden davon beeinflusst und wir sehen dass Moslems einen Einfluss haben. Dann werden sie natürlich moderater, die Moslems, die zu uns kommen. Weil sie ja sehen wie es bei uns läuft. Sie kriegen Arbeit, sie sind aber sehr schlau, können sehr gut mit ihren Händen wie auch mit ihren Köpfen arbeiten. Was ich sagen möchte, ist, dass die Probleme in Dänemark gelöst werden indem wir ein Krisenzentrum für Frauen aufgestellt haben. Junge Frauen aus muslimischen Familien können dahin kommen und die wollen sich nicht dazu zwingen lassen einen zu heiraten, den sie nicht haben wollen. Da gibt es Leute, die gegen den Strom schwimmen wollen, die wollen nicht die Rolle übernehmen, die ihnen aufgeführt[vorgeführt] wird. [1:12:39]	0
So, to talk about this important point, it's not culture, it's not religion, let's talk about the economy. What makes our country, and I'm talking about the lessons of France, is that they have a history of welcoming immigrants that is much older, much longer. We have only two percent of immigrants in our country and after ten percent (...) 15. In France, I don't know exactly. That's what I was talking about at the beginning, about the lessons we could learn from the French example. Regarding the question posed by the moderator, we are here at the heart of the problem. The feeling that many Spaniards share is that they have asked for a lot of immigrants, they have allowed [shared?] their territory with many immigrants with all those who wanted. And the problem now is that the immigrants have continued to arrive on the territory, while there is no more work. While for a period of time, finally, there is no problem, and therefore, it is normal obviously that there are groups of people who adapt better than others. When they come to work, there is no problem. And then, as it was said after the Second World War, the reception of the French of many immigrants for the reconstruction after the horrors of the war, so the problem is well that one. And the Togolese doctors arrive in France now, or in Belgium, I don't know, and now they can't find work. While we, in Spain, are looking for doctors who speak Spanish, obviously, so it is rather South Americans because simply in our country we must have doctors. So the problem is exclusively economic in the end. So maybe there should be a debate, maybe not now, but a debate of migration legislation on the basis of a distribution of wealth that finally exists at this time.	fr	[01:30] Alors, de parler de ce point important, ce n’est pas la culture, ce n’est pas la religion, parlons de l’économie. Ce qui fait notre pays, et je parle tout alors de les leçons de la France, c’est parce qu’ils ont une histoire d’accueil d’immigrées qui est beaucoup plus ancienne, beaucoup plus long. Nous n’avons que deux pourcent d’immigrés chez nous et après dix pourcent (...) 15. En France, je ne sais pas exactement. C’est de ça que j’ai parlé au départ concernant les leçons qu’on pourrait tirer de l’exemple français. Au sujet de la question posée par la modératrice, nous sommes ici au cœur du problème. Le sentiment que partagent beaucoup d’espagnols, c’est qu’on a beaucoup demandé les immigrés, on a beaucoup autorisé[partager?] son territoire avec beaucoup de l’immigrés avec tous ceux qu’ils le souhaitaient. Et le problème maintenant c’est que les immigrés ont continué à arriver sur le territoire, alors qu’il n’y a plus de travail. Alors que pendant une période, finalement, il n’y a aucun problème, et donc, il est normal évidemment qu’il y a des groupes de personnes qui s’adaptent mieux que d’autres. Quand ils viennent à travailler, il y a aucun problème. Et puis, comme ça a été dit après la deuxième guerre mondiale, l’accueil des français de beaucoup d’immigrés pour la reconstruction après les horreurs de la guerre, donc le problème c’est bien celui là. Et les médecins togolais arrivent en France maintenant, ou en Belgique, je ne sais plus, et par maintenant, ne trouvent plus de travail. Alors que nous, en Espagne, nous cherchons des médecins qui parlent plutôt l’espagnol évidemment, donc c’est  plutôt des sud-américain parce que simplement dans notre pays on doit avoir des médecins. Donc le problème et celui là, il est exclusivement économique finalement. Donc peut-être faudrait-il un débat, peut-être pas maintenant, mais un débat de législation de migration sur la base d’une répartition finalement de richesse qui existe en ce moment. [04 :16]	0
I have a little difficulty with the phrase 'we work for others, I work for the whole world, I work for them'. We are talking here about people coming to Germany, people coming here, people having a job here. We are talking here on the whole; we are actually supposed to be talking about illegals in quotation marks, who have drifted into illegality because their visa has expired. That is, these people do have jobs. I don't believe that the employer no longer employs them, then they wouldn't be here. These are people who are employed - and it's not about someone coming here, what Udo said, the economic refugees who come here to say, I'm better off here - in quotes - than somewhere else. But we're talking about EU here, not Germany.	de	[37:27] Ich habe ein bisschen Schwierigkeiten mit der Formulierung ‚wir arbeiten für andere, ich arbeite für die ganze Welt, ich arbeite für die‘. Wir reden hier darüber, dass Menschen nach Deutschland kommen, dass Menschen hierher kommen, dass Menschen hier einen Arbeitsplatz haben. Wir reden hier im grossen und ganzen; wir sollen uns eigentlich unterhalten über Illegale in Anführungsstrichen, die in die Illegalität abgedriftet sind, weil ihr Visum abgelaufen ist. Das heisst, diese Menschen haben ja Arbeit. Ich glaube nicht, dass der Arbeitgeber sie nicht mehr beschäftigt, dann wären sie nicht mehr hier. Das sind Menschen, die in Lohn und Brot sind – und es geht nicht darum, dass jemand hier her kommt, was der Udo gesagt hat, die Wirtschaftsflüchtlinge, die hierher kommen, um zu sagen, ich bin hier besser – in Anführungsstrichen – versorgt wie irgendwo anders. Aber wir reden hier über EU, nicht über Deutschland. [37:22]	2
Well, I agree with all those who had a say, but what is important for me is that also the people who are here illegally and who have very often, for example, health problems and no money to go to see a doctor - This is really nothing good - neither for them nor for their families and it is a reason for suffering.	pl	[07:38] Well, I agree with all those who had a say, but what is important for me is that also the people who are here illegally and who have very often, for example, health problems and no money to go to see a doctor - This is really nothing good - neither for them nor for their families and it is a reason for suffering.   [08:05]	3
