cleaned_comment	orig_lang	speech	justification
So I was going to say an illegal intregation to speak or that you can legalize that and controlled, somehow it bites, the words. So you, either you speak of legal or illegal, illegal that falls little criminal or commit a criminal act tu, and then I can say, well the 500000 legal or illegal come in, the we do then nothing and the other we punish then. That is also a bit unfair. I can not make a border crossing, let's assume now times 20 years ago or 22, we have with the GDR that, for example, that our State Council Chairman would have said, 1000 people go across and the 1001st, he gets the bullet. Per year. So in my opinion, there's only then the illegal or the legal. So illegal and legalize that they... somehow it doesn't fit. That's my opinion.	de	[17:17] Also ich wollte sagen, eine illegale Intregation zu sprechen oder dass man das legalisieren kann und gesteuert, irgendwie beisst sich das, die Wörter. Also man, entweder spricht man von Legalen oder von Illegalen, illegal das fällt wenig kriminell oder eine kriminelle Handlung begehen tu, und dann kann ich sagen, naja das 500000 Legale oder Illegale kommen rein, den tun wir dann nichts und den anderen bestrafen wir dann. Das ist auch ein bisschen ungerecht. Ich kann nicht einen Grenzübertritt machen, nehmen wir an jetzt mal vor 20 Jahren oder 22, haben wir mit der DDR das zum Beispiel dass unser Staatsratsvorsitzender gesagt hätte, 1000 Menschen gehen rüber und der 1001te, der kriegt die Kugel. Pro Jahr. Also meiner Meinung, gibt’s nur dann die Illegalen oder die Legalen. Also illegal und das legalisieren, dass sie… irgendwie passt das nicht. Das ist meine Meinung. [18:25]	1
So, to talk about this important point, it's not culture, it's not religion, let's talk about the economy. What makes our country, and I'm talking about the lessons of France, is that they have a history of welcoming immigrants that is much older, much longer. We have only two percent of immigrants in our country and after ten percent (...) 15. In France, I don't know exactly. That's what I was talking about at the beginning, about the lessons we could learn from the French example. Regarding the question posed by the moderator, we are here at the heart of the problem. The feeling that many Spaniards share is that they have asked for a lot of immigrants, they have allowed [shared?] their territory with many immigrants with all those who wanted. And the problem now is that the immigrants have continued to arrive on the territory, while there is no more work. While for a period of time, finally, there is no problem, and therefore, it is normal obviously that there are groups of people who adapt better than others. When they come to work, there is no problem. And then, as it was said after the Second World War, the reception of the French of many immigrants for the reconstruction after the horrors of the war, so the problem is well that one. And the Togolese doctors arrive in France now, or in Belgium, I don't know, and now they can't find work. While we, in Spain, are looking for doctors who speak Spanish, obviously, so it is rather South Americans because simply in our country we must have doctors. So the problem is exclusively economic in the end. So maybe there should be a debate, maybe not now, but a debate of migration legislation on the basis of a distribution of wealth that finally exists at this time.	fr	[01:30] Alors, de parler de ce point important, ce n’est pas la culture, ce n’est pas la religion, parlons de l’économie. Ce qui fait notre pays, et je parle tout alors de les leçons de la France, c’est parce qu’ils ont une histoire d’accueil d’immigrées qui est beaucoup plus ancienne, beaucoup plus long. Nous n’avons que deux pourcent d’immigrés chez nous et après dix pourcent (...) 15. En France, je ne sais pas exactement. C’est de ça que j’ai parlé au départ concernant les leçons qu’on pourrait tirer de l’exemple français. Au sujet de la question posée par la modératrice, nous sommes ici au cœur du problème. Le sentiment que partagent beaucoup d’espagnols, c’est qu’on a beaucoup demandé les immigrés, on a beaucoup autorisé[partager?] son territoire avec beaucoup de l’immigrés avec tous ceux qu’ils le souhaitaient. Et le problème maintenant c’est que les immigrés ont continué à arriver sur le territoire, alors qu’il n’y a plus de travail. Alors que pendant une période, finalement, il n’y a aucun problème, et donc, il est normal évidemment qu’il y a des groupes de personnes qui s’adaptent mieux que d’autres. Quand ils viennent à travailler, il y a aucun problème. Et puis, comme ça a été dit après la deuxième guerre mondiale, l’accueil des français de beaucoup d’immigrés pour la reconstruction après les horreurs de la guerre, donc le problème c’est bien celui là. Et les médecins togolais arrivent en France maintenant, ou en Belgique, je ne sais plus, et par maintenant, ne trouvent plus de travail. Alors que nous, en Espagne, nous cherchons des médecins qui parlent plutôt l’espagnol évidemment, donc c’est  plutôt des sud-américain parce que simplement dans notre pays on doit avoir des médecins. Donc le problème et celui là, il est exclusivement économique finalement. Donc peut-être faudrait-il un débat, peut-être pas maintenant, mais un débat de législation de migration sur la base d’une répartition finalement de richesse qui existe en ce moment. [04 :16]	2
Without going into the question directly and in more detail, I have to say right away that I really can't hear this word economic crisis anymore; which is really used for all things as a reason, really, as a hook in politics for really every shit - buah. No matter what it is, it's always the economic crisis and with that you can probably really exclude everything in politics and push everything somehow; the social things behind, because now we have to take care of the banks first, the economic crisis and etc...	de	[55:55] Ohne auf die Frage direkt und näher einzugehen, muss ich gleich mal sagen, dass ich dieses Wort Wirtschaftskrise wirklich schon nicht mehr hören kann; die ja wohl wirklich für alle Sachen verwendet wird als Grund, wirklich, als Aufhänger in der Politik für wirklich jeden Scheiss – buah. Egal was es ist, es ist immer die Wirtschaftskrise und damit kann man wohl in der Politik wohl wirklich alles ausschliessen und alles irgendwie; die sozialen Sachen hintendran schieben, weil jetzt müssen wir uns zuerst mal um die Banken kümmern, um die Wirtschaftskrise und etc.. [56:26]	1
I would like to say that in Belgium, immigration has existed for a very long time. But especially Italians, because they came to make the minis. But in the end, they settled in Belgium. Those who arrive now in immigration, are people who imagine that in Belgium they are better off and they deprive, they separate from their families, hoping to have thousands and thousands more and this is not true. So I also say that the immigration now makes that there is much more unemployment, for the Belgians too. Because of that. That's my personal idea.	fr	[11 :04] Moi je voudrais dire qu’en Belgique, l’immigration existe depuis très longtemps. Mais surtout des italiens, parce qu’ils sont venus pour surtout faire les minis. Mais pour finir, ils se sont carrément installés en Belgique. Ceux qui arrivent maintenant en immigration, se sont des gens qui s’imaginent qu’en Belgique ils sont mieux et ils privent, ils se séparent de leurs familles, en espérant avoir des milliers et des milliers en plus et ce qui n’est pas vrai. Alors je dis aussi que l’immigration maintenant fait qu’il y a beaucoup plus de chômage, pour les Belges aussi.  A cause de ça. Ça c’est mon idée personnelle. [11 :52]	1
I think this question about the control of the influx of immigrants. How can we control it? How can we do selection between the immigrants? I think it is a good question and I was intrigued by that. I would like to get an answer for this question.	pl	[53:52]I think this question about the control of the influx of immigrants. How can we control it? How can we do selection between the immigrants? I think it is a good question and I was intrigued by that. I would like to get an answer for this question.[54:13]	0
I would like my Spanish comrades to explain something that I don't know and that is how it is possible that there is more aid for immigrants, illegal or not, than for Spanish people? I don't understand that.	fr	[01 :17] Moi j’aimerais bien qu’on m’expliquaient mes camarades espagnoles  quelque chose que je ne connais pas et c’est comment est-ce que c’est possible qu’il y a des aides plus importantes pour les immigrés, clandestins ou non, que pour les espagnoles ? J’ai du mal comprendre ça. [01 :34]	1
Actually, what we have just said more often - I can't see your name - Julian; Julian has already said that correctly: language, vocational training, income - and only in this way can you properly reintegrate these illegal people who come to us, because otherwise they remain social cases that only cost the respective state money, bring trouble and just yes - do not belong in the cycle. So the states have to take care of this and this is not a matter for the EU - possibly via a large directive. The states themselves have to make sure that the people who come in are integrated, among the things that Julian has already said. Otherwise it won't work. But what's interesting is that we all know that, but the politicians don't.	de	[1:03:21] Eigentlich ist das was wir eben schon mal öfter gesagt haben – ich kann deinen Namen nicht sehen – Julian; Julian hat das schon richtig gesagt: Sprache, Berufsausbildung, Einkommen – und nur so kann man diese illegalen Leute, die zu uns kommen wieder richtig eingliedern, denn die bleiben sonst Sozialfälle, die den jeweiligen Staat nur Geld kosten, Ärger bringen und eben ja – nicht rein gehören in den Kreislauf. Also die Staaten müssen dafür sorgen und das ist nicht Sache der EU – möglicherweise über eine grosse Richtlinie. Die Staaten selbst müssen dafür sorgen, dass eben die Leute, die da reinkommen, integriert werden, unter den Dingen, die Julian schon mal gesagt hat. Sonst funktioniert das nicht. Aber interessant ist es ja, dass wir das alle wissen, nur die Politiker nicht. [1:04:35]	2
Can I ask you a question? Why does your country need seasonal workers? They are coming because Polish people do not want to take these jobs? Why has the number of the seasonal workers increased in Poland? What kind of jobs are they taking?	pl	[1:20:48]Can I ask you a question? Why does your country need seasonal workers? They are coming because Polish people do not want to take these jobs? Why has the number of the seasonal workers increased in Poland? What kind of jobs are they taking?[1:21:14]	0
I had someone in my family, someone who went to the United States before Romania joined the EU. In the meantime, he no longer has legal documents. His passport has expired. I asked if he wanted to return to Romania because now Romania is recognized as a European country. And so the European community should protect its citizens who left for study reasons. But in fact he can't go back to Romania anymore because he doesn't have official documents. And I imagine that there are many Romanian citizens in the same case. In the case of hand separator. Who left to study and now do not have permission to return. I imagine that in the United States there are other laws. But I wonder, what the EU or the state does for its citizens who are in the only possibility to return home because in the meantime they had not yet renounced their nationality. But their official documents are no longer valid.	fr	[23 :24] j’avais quelqu’un dans ma famille, quelqu’un qui a parti aux Etats-Unis avant l’adhésion de la Roumanie a l’UE. Entretemps, il n’a plus des documents légaux. Son passeport a expiré. J’ai demandé s’il voulait rentrer à Roumanie parce que maintenant la Roumanie est reconnu comme un pays européen. Et donc la communauté Européen devrait protéger ses citoyens qui sont partis pour des raisons d’études. Mais en fait il ne peut plus rentrer au Roumanie parce qu’il n’a plus des documents officiels. Et j’imagine qu’il y a beaucoup de citoyens roumains dans le même cas. Dans le cas de séparant à main. Qui sont partis de faire des études et maintenant n’ont plus la permission de rentrer. J’imagine aux Etats-Unis il y a d’autres lois. Mais je me demande, c’est que la UE ou l’état fait pour ses citoyens qui sont dans l’aine possibilité de rentrer chez eux parce qu’entretemps ils n’avaient pas encore renoncé à leur nationalité. Mais leurs documents officiels ne sont plus valables. [24 :32]	0
In Slovenia, we have a lot of immigrants from the non-EU countries, especially in the health care sector, because we need specialists in Slovenia. Slovenians do not want to work in this sector so of course people from other countries are coming to work there.	pl	[1:15:56] In Slovenia, we have a lot of immigrants from the non-EU countries, especially in the health care sector, because we need specialists in Slovenia. Slovenians do not want to work in this sector so of course people from other countries are coming to work there.  [1:16:25]	0
