cleaned_comment	orig_lang	speech	respect
In Belgium, so to speak, the situation is differentiated. The number of illegal immigrants who work is relatively big. They work illegally, because they live illegally and those people are often taken advantage of. These are people who live in centres for asylum-seekers and have problems with finding a decent work to earn a livelihood. There are also many of those who have started the asylum procedure and do not live in asylum-seekers centres, so they work on the market, but very often they work with no permit, this is the situation in Belgium.	pl	[00:59] In Belgium, so to speak, the situation is differentiated. The number of illegal immigrants who work is relatively big. They work illegally, because they live illegally and those people are often taken advantage of. These are people who live in centres for asylum-seekers and have problems with finding a decent work to earn a livelihood. There are also many of those who have started the asylum procedure and do not live in asylum-seekers centres, so they work on the market, but very often they work with no permit, this is the situation in Belgium. [01:45]	1
I have a very clear opinion. They should be treated in the same way. If there were more legal means of immigration, we would not have the problem of illegal immigration. It is only that when we say outside the European fortress, we accept that trained, highly qualified people, and the others remain outside. So we create the problem of illegal immigration. Otherwise, if there were regularized immigration procedures, we would not have the problem of illegal immigration.	fr	[51 :15] Moi, j’ai une opinion très claire. Il faut les traiter de la même manière. S’il y avait des moyens plus légaux d’immigration, on n’aurait pas le problème d’immigration illégale. Ce n’est que, lorsqu’on dit en dehors de la forteresse européenne, on accepte que des personnes formés, hautement qualifiés, et les autres restent dehors. Alors nous créons le problème de l’immigration illégale. Sinon, s’il y avait des procédures d’immigration régularisées, on n’aurait pas le problème de l’immigration illégale. [51 :49]	1
In fact, that's a big problem. The countries of the EU need to cut military spending and put the money aside for the welfare state, for pensions, and for European civilization, European civilization, which is very human and humane. We don't need military, we don't need weapons, that's one way to address the problem.	de	[38:16] Tatsächlich, das ist ein grosses Problem. Die Länder der EU müssen die militärischen Ausgaben senken und das Geld zur Seite legen für den Sozialstaat, für die Pension und für die europäische Zivilisation, die europäische Zivilisation, die sehr menschlich und human ist. Wir brauchen kein Militär, wir brauchen keine Waffen, das ist eine Art und Weise, wie man auf das Problem eingehen könnte. [38:52]	1
A clarification on what? On what topic?   so I'll repeat it again in concise words. I don't think it's good for any country to lose skilled workers, and it's not good for any country to systematically lose workers. And if we allow these people to systematically come into our countries from any country, we will have done something for our economy, but these countries will then become poor and we will then have poor stragglers. If we allow poor people to come from these countries, we produce problems in our countries. Of course, the southern European countries have bigger problems with that because they are closer to Africa or also closer to the Arabian Peninsula and yes, that's just a geographical phenomenon.	de	[5:21] Eine Klarstellung wozu? Zu welchem Thema? [5:24] [5:29] also ich wiederhole es nochmal in knappen Worten. Ich glaube, es tut keinem Land gut, wenn es Facharbeiter verliert, und es tut keinem Land gut, wenn es systematisch Arbeiter verliert. Und wenn wir zulassen, dass aus irgendeinem Land systematisch in unsere Länder diese Leute kommen, haben wir zwar für unsere Wirtschaft was getan, aber diese Länder werden dann arm werden und wir werden dann auch arme Nachzügler haben. Wenn wir zulassen, dass arme Leute aus diesen Ländern kommen, produzieren wir in unseren Ländern Probleme. Natürlich haben die südlichen europäischen Länder da grössere Probleme damit, weil sie näher an Afrika oder auch näher an der arabischen Halbinsel sind und ja, das ist einfach ein geographisches Phänomen. [6:20]	2
Financial problems always existed in different countries. If someone wants to live in another country, he can always do so. So if he/she wants to work a few years in some country in order to send the family money that he/she earned, he/she should not be prevented from doing so.	pl	[47:04]Financial problems always existed in different countries. If someone wants to live in another country, he can always do so. So if he/she wants to work a few years in some country in order to send the family money that he/she earned, he/she should not be prevented from doing so.[47:36]	1
I heard somewhere - I don't remember exactly where it was - that sometimes we fill planes in these third countries with children, we send them to our countries but if these children at that time would be protected, they already have their place in our society. I'm not against children, of course, but even if they are illegal, I would like them to be able to go to school, to have the opportunity to get an education.	fr	[27:24] Moi j’ai entendu quelque part – je m’en souviens plus très bien où c’était – que parfois on rempli des avions dans ces pays tiers avec des enfants, on les envoie dans nos pays mais si ces enfant à ce moment-là serait protégés, ils ont déjà leur place dans notre société. Moi évidemment je ne suis pas contre les enfants et surtout même si ce sont des illégaux je voudrais bien qu’ils puissent aller à l’école, qu’ils aient la possibilité de suive une formation. [27:54]	1
yo creo que lo que dice Iñaki - que imigrantes en la poblacion reclusa nacional o una porcentaje bastante vajilidado. Yo pienso con el tema sobre todo de la violencia de genero que esto es... and in this case you see for example what the quantity is. So that the quantity has increased. Also with the amount of immigrants. And I think there are two reasons for that. First of all, is that a big percentage of the population comes from Africa, where for example the situation of the woman is not very good. And on the other hand, it is so that there is also a large number of people who immigrate to us from Latin America. And there the conditions for the woman are not so good either. So they are similar. For example, I know a friend who is a priest in Mexico, and he told me about the situation there. So the situation that the woman is in in Mexico, that it's not exactly for the best. So that it's not just because it's immigrants, it's just by the fact, it's more of a social issue here. Where just for example the woman is at the very bottom of the last rung of the social ladder. So for example in the fundamentalist countries you find that. And that is for example also the case in Latin America for social reasons, because there is already a very long tradition that it is the way it is. And as a result, I think there have been some improvements there. But is it now the case that the economic crisis, which is currently overtaking us, has now also affected the weakest, let's say in particular. And if they don't have anything left, then they may steal more. As far as illegal immigration is concerned, and especially the people who come from the Maghreb, i.e. from the front of Africa, it is the case that almost all the people who are in the mafia are Spanish. So they are all Spaniards. But they usually come from Fuerteventura and they are directly connected, so these mafia are directly connected with the Spaniards and the immigrants, they are now coming to us in Spain and of course they want to come to European soil and the EU really has to do something now. And now as far as the Latin Americans are concerned, in most cases it is the case that these are people who come from other political systems. And there, as I said, they don't have the respect for women that we have. And the European culture of course has special values and also attaches importance to equality, which does not exist down there, in these other cultures. These people are not brought up in the same way, they don't have these values. And of course they have to adapt. And they should then also try to absorb all our values and our democratic concept.	de	[23:21] yo creo que lo que dice Iñaki - que imigrantes en la poblacion reclusa nacional o  una porcentaje bastante vajilidado. Yo pienso con el tema sobre todo de la violencia de genero que esto es… und in diesem Fall sieht man zum Beispiel was die Menge angeht. Dass die Menge also gestiegen ist. Auch mit der Menge der Einwanderer. Und ich glaube, dass das zwei Gründe hat. Zunächst einmal, ist es so, dass ein grosser Prozentsatz der Bevölkerung aus Afrika kommt, wo zum Beispiel die Situation der Frau nicht gerade gut ist. Und auf der anderen Seite ist es so, dass es auch eine grosse Zahl von Personen gibt, die bei uns aus Lateinamerika einwandern. Und da sind auch die Bedingungen für die Frau nicht so gut. Also die ähneln sich. Ich kenne zum Beispiel ein Freund, der in Mexiko Priester ist, und der hat mir also über die Situation dort berichtet. Also in der sich die Frau in Mexiko befindet, dass es also nicht gerade zum Besten steht. Dass es also nicht nur, weil es sich um Einwanderer handelt, es kommt einfach durch die Tatsache, es ist mehr hier eine soziale Frage. Wo eben zum Beispiel die Frau ganz unten auf der letzten Sprosse der sozialen Leiter steht. Also zum Beispiel in den fundamentalistischen Ländern findet man das. Und das ist zum Beispiel auch noch der Fall in Lateinamerika aus sozialen Gründen, weil das hat da auch eine sehr lange Tradition bereits, dass es so ist wie es ist. Und in Folge dessen glaube ich, dass es da auch einige Verbesserungen gegeben hat. Ist es aber jetzt so, dass die Wirtschaftskrise, die uns jetzt gerade überfährt, dass die jetzt gerade auch die schwächsten jetzt besonders sagen wir mal betroffen hat. Und wenn die eben nichts mehr haben, dann klauen sie eben auch mehr eventuell. was also die illegale Einwanderung angeht und ganz besonders die Personen, die aus dem Maghreb, also vorderen Afrika kommen, da ist es so, dass da fast alle Personen, die also in der Mafia sind. Das sind also alles Spanier. Die kommen aber normalerweise aus Fuerteventura und die sind direkt verbunden, also diese Mafia sind direkt mit den Spaniern verbunden und die Einwanderer, die kommen jetzt eben zu uns nach Spanien und wollen natürlich jetzt auf den europäischen Boden und die EU muss jetzt wirklich etwas tun. Und jetzt was die Lateinamerikaner angeht, in den meisten Fällen ist es so, dass das Leute sind, die aus anderen politischen Systemen kommen. Und da gibt es eben wie gesagt auch nicht den Respekt der Frau wie wir den eben haben. Und die europäische Kultur hat jetzt natürlich besondere Werte und legt auch auf Gleichstellung wert, die es dort unten nicht gibt, in diesen anderen Kulturen. Diese Leute sind dort auch nicht so erzogen, die haben diese Werte nicht. Und da müssen sie sich natürlich anpassen. Und sie sollten dann auch versuchen, all unsere Werte aufzunehmen und unser demokratisches Konzept. [27:10]	0
I would like to say that the decision is taken at the level of each country, at the level of Europe, that can be conceived. I think it would be more effective if it were a decision taken at the European level. But above all I would like to say that personally I would like to express my disagreement with the policies that have taken place at certain times, in certain countries, of legalizing illegal immigration. Because it happened in France, I think it happened in Spain, it happened in Italy, it happened in several countries. These movements of legalization of illegal immigration are calls for a new immigration. And then, above all - in France, for example, I was flabbergasted to see at the time of the last movement, where there was talk of legalizing illegal immigrants, to see to what extent the demands of these illegal immigrants were in line with those of the bosses? Practically, we have bosses who have gone on hunger strike, right? Or strike movements to defend the legalization of certain illegal immigrants, because of course, what interests them is to have a workforce to pay as little as possible. And the ability to make profits is much more important. This was true in the restaurant industry in France, I remember the bosses who went on hunger strike in France, to legalize the - I had never seen that, in France, in all my life, I had never seen bosses   defend immigrants. So I think we have to say once and for all that this policy of legalization doesn't lead to anything, because afterwards, we have the same number. So we have to find ideas in our order, that's it. That's what I wanted to say.	fr	[11 :11] Moi je voudrais dire que la décision soit prise au niveau de chaque pays, au niveau de l’Europe, ça peut se concevoir. Je pense d’avantage ça sera plus efficace si c’était une décision prise au niveau européen. Mais surtout ce que je voudrais dire que personnellement, je voudrais dire mon désaccord avec les politiques qui on lieu à certains moments, en certains pays, de légalisation de l’immigration illégale. Parce que ça s’est passé en France, je crois que ça s’est passé en Espagne, ça s’est passé en Italie, ça s’est passé dans plusieurs pays. Ces mouvements de légalisation de l’immigration illégale sont des appels d’élans[?] pour une nouvelle immigration. Et puis, surtout – en France, par exemple,  j’ai été sidéré de voir au moment du dernier mouvement, où on a parlé de légalisation des immigrés illégaux, de voir à quel point les revendications de ces immigrés illégaux rejoignaient celles des patrons ? Pratiquement, on a des patrons qui ont fait la grève de la faim, non ? Ou des mouvements de grève pour défendre la légalisation de certains immigrés illégaux, parce que bien entendu, ce qui les intéressent eux, c’est d’avoir une main d’œuvre à payer le moins cher possible. Et le pouvoir faire des profits est beaucoup plus important. C’était vrai dans la restauration en France,  je me souviens des patrons qui on fait la grèves de la faim en France, pour légaliser les – je n’avais jamais vu ça, en France, de toute ma vie, je n’avais jamais vu des patrons [13 :10]  [00 :00] entrer la défense des immigrés. Alors je crois qu’il faut une fois pour toute dire que cette politique de légalisation n’abouti à rien, parce que c’est qu’après, on a le même nombre. Donc il faut trouver des idées dans notre ordre, voila. Voilà c’est ce que je voulais formuler comme idée. [00 :23]	1
I would like to ask the lady next door what she does when she gets an uninvited visitor; when she comes home and there is someone in her apartment. What she does then.	de	[31:53] Ich möchte mal die Dame nebenan fragen, was sie macht, wenn sie ungebetenen Besuch kriegt; wenn sie heimkommt und in ihrer Wohnung ist jemand drin. Was sie dann macht. [32:04]	0
I have a little difficulty with the phrase 'we work for others, I work for the whole world, I work for them'. We are talking here about people coming to Germany, people coming here, people having a job here. We are talking here on the whole; we are actually supposed to be talking about illegals in quotation marks, who have drifted into illegality because their visa has expired. That is, these people do have jobs. I don't believe that the employer no longer employs them, then they wouldn't be here. These are people who are employed - and it's not about someone coming here, what Udo said, the economic refugees who come here to say, I'm better off here - in quotes - than somewhere else. But we're talking about EU here, not Germany.	de	[37:27] Ich habe ein bisschen Schwierigkeiten mit der Formulierung ‚wir arbeiten für andere, ich arbeite für die ganze Welt, ich arbeite für die‘. Wir reden hier darüber, dass Menschen nach Deutschland kommen, dass Menschen hierher kommen, dass Menschen hier einen Arbeitsplatz haben. Wir reden hier im grossen und ganzen; wir sollen uns eigentlich unterhalten über Illegale in Anführungsstrichen, die in die Illegalität abgedriftet sind, weil ihr Visum abgelaufen ist. Das heisst, diese Menschen haben ja Arbeit. Ich glaube nicht, dass der Arbeitgeber sie nicht mehr beschäftigt, dann wären sie nicht mehr hier. Das sind Menschen, die in Lohn und Brot sind – und es geht nicht darum, dass jemand hier her kommt, was der Udo gesagt hat, die Wirtschaftsflüchtlinge, die hierher kommen, um zu sagen, ich bin hier besser – in Anführungsstrichen – versorgt wie irgendwo anders. Aber wir reden hier über EU, nicht über Deutschland. [37:22]	1
