cleaned_comment	orig_lang	speech	storytelling
"I speak French because my document is in French if you agree. We can - I think - pick up this point rather quickly because there are two arguments in the counter, here I quote: ""Civil liberties are hampered because of the intensification of border controls. ""No one - especially in France - will accept this and it has no influence on the largest group of illegal migrants, the people who stay after their visas expire, because I think this is the main group of people who come to our country and we must try to find another solution. So I propose that we go directly to the next point, if you agree."	fr	[00:00] Je parle français parce que mon document est en français si vous êtes d’accord. On peut – je crois – décrocher ce point assez rapidement parce qu’il y a deux argument dans le contre, là je cite : « Les libertés civiles sont entravées à cause de l’intensification des contrôles aux frontières. »  Personne – surtout en France – n’acceptera ça et cela n’a aucune influence sur le plus grand groupe des migrants illégaux, les personnes qui restent après l’expiration de leurs visas, parce je crois ça c’est le groupe principale des personnes qui viennent dans notre pays et il faut essayer de trouver une autre solution. Alors je propose qu’on passe directement au prochain point, si vous êtes d’accord. [00:47]	0.0
[43: [47] France has a great history of immigration, ... ... ... ... ... ... ... ... and I think it's a little bit everywhere in Europe too, we've become more selective but the problem that we said Madame, is I think more illegal immigration because there we have trouble knowing who comes in and who doesn't, these illegals so have hidden, it's difficult to have figures, and it's this immigration that is difficult to control, that we must - I think - accentuate at the level to limit it.	fr	[43:47] La France a une grande histoire d’immigration, … … … … … … … … et je pense que c’est un peu partout aussi en Europe, on est devenu plus sélectif mais le problème qu’on a dit Madame, c’est je pense plus d’immigration clandestine parce que là on a du mal à savoir qui rentre et qui ne rentre pas, ces clandestins donc s’aient cachés, c’est difficile d’avoir des chiffres, et c’est cette immigration qui est difficile à contrôler, qu’il faut – je pense – accentuer au niveau pour la limiter. [44:31]	0.0
"There is indeed immigration from concrete conflicts and this is clearly a European phenomenon, that is to say that the European Union can come back and therefore must leave its entire territory. Now, when countries that also have borders with the Mediterranean, therefore with Africa, I believe that we must certainly also and from these countries, therefore France, Spain, Italy and so on. But the countries that do not have borders with the Mediterranean cannot simply say: ""That's it, that's the problem of those countries"". It is true that some countries are really suffering because there are many people who come to them and they do not know where to put them and there are other countries that have practically no such problem. So we have to make sure that each country bears a part of this responsibility and that it is not only a few countries that have this border to Eastern Europe or to Africa for example."	fr	[52:19] Il y a effectivement donc l’immigration de part de conflit concret et donc là c’est clairement un phénomène européen, c'est-à-dire que l’Union Européenne là peut revenir et donc doit repartir sa totalité de son territoire. Maintenant, quand des pays qui ont aussi des frontières avec la Méditerranée, donc avec l’Afrique, je crois qu’il faut certainement aussi et de ces pays-là, donc France, Espagne, Italie et cetera. Mais donc les pays qui n’ont pas des frontières avec la Méditerranée ne peuvent pas simplement dire : voilà, c’est le problème de ces pays-là. Justement ce que je voulais aussi dire notamment au niveau des quotas donc il est vrai que certains pays souffrent vraiment parce qu’il y a beaucoup des gens qui viennent chez eux et ils ne savent pas où les caser et il y a d’autres pays qui n’ont pratiquement pas de cet problème-là donc ça c’est une mission pour l’Union Européenne : faire en sorte que les 27 pays membre portent tous ensemble cette charge et assument cette responsabilité. Donc il faut faire une sorte que chaque pays porte une partie de cette responsabilité et que ce ne soit pas uniquement quelques pays qui ont cette frontière vers l’Europe de l’est ou vers l’Afrique par exemple. [53:37]	0.0
Yep, more and more industries, many industries have now, to protect workers in many areas, and that's related to..., we have a minimum wage. I bring examples, building cleaners now...	de	[45:12] Jaja, immer mehr Branchen, viele Branchen haben inzwischen zum Schutz der Arbeitnehmer in vielen Bereichen, und das hängt mit…, haben wir ein Mindestlohn. Ich bringe Beispiele, Gebäudereiniger inzwischen…[45:29]	0.0
Well, I am of the opinion that simply in the population the term EU is seen completely wrong; one always wants only something and one wants to give nothing. I am simply of the opinion that it should be a community and a community simply has to support the weaker ones and the stronger ones simply have to give. I think this is the basic problem of the EU and I think it's very nice that today and in the next few days this could contribute to the fact that this spirit, which was really brought into being by Robert Schuman and by all those who have worked so hard for the EU, could be recognized and a community could really take place; at least in the microcosm now.	de	[10:11] Also ich bin der Meinung, dass einfach in der Bevölkerung der Begriff EU vollkommen falsch gesehen wird; man will immer nur etwas und man will nichts geben. Ich bin einfach der Meinung, es soll doch eine Gemeinschaft sein und eine Gemeinschaft hat einfach die Schwächeren zu stützten und die Stärkeren müssen einfach abgeben. Das ist denk‘ ich das Grundproblem der EU und ich find’s sehr sehr schön, dass das heute und in den nächsten Tagen dazu beitragen könnte, dass man wirklich diesen Geist, der da also damals wirklich ins Leben gerufen wurde, von Robert Schuman und von all denen, die sich so intensiv um die EU bemüht haben, dass da mal eine Anerkennung stattfindet und wirklich mal ein Gemeinschaft stattfinden könnte; wenigstens mal im Mikrokosmos jetzt. [10:56]	0.0
The effect of being illegal, there is an answer behind it. When you do something illegal, what do you get out of it? You're welcome. It seems so obvious to me that it's illegal. I couldn't imagine entering a country where there are well established rules. So it's basic. If you establish laws and you don't respect them, then who are you? Even the one who is illegal, he says: there we can do what we want. That's all.	fr	[19:00] L’effet d’être illégaux, il y a réponse derrière. Quand vous faites quelque chose d’illégal, qu’est-ce que vous en obtenez ? De rien. Ça  me parait tellement évident que c’est illégal. Moi je n’imaginais pas d’entrer dans un pays où il y a des règles bien établis. Donc c’est élémentaire. Si vous établissez des lois et vous ne les respectez pas, alors qui êtes-vous ? Même celui qui est illégal, il dit : là-bas on peut faire ce qu’on veut. C’est tout. [19:51]	0.0
I understood that you were for it. Assja was saying that she did not understand this story of illegal immigration in the sense that if the person who enters a country and is recognized - that they have not been tortured - they are recognized at the border; there is no illegal immigration. There is no illegal immigration. I would like to ask you a question: the European Union, in what terms does it define illegal immigration? Because in my book it's not marked.	fr	[34 :58] J’ai plutôt compris que tu étais pour. Assja disait, qu’elle ne comprenait pas cette histoire de l’immigration illégale dans le sens ou si la personne qui rentre dans un pays, et qu’elle est reconnue – qu’elle n’a pas été torturée – elle est reconnue à la frontière ; il n’y a pas d’immigration illégale. Il n’y en a pas. Moi j’aimerais - juste une question : L’Union Européenne ; en quel  terme elle fixe l’immigration illégale ? Parce que dans mon livre ce n’est pas marqué. [35 :43]	0.0
I have a question for Udo. The ethnic Germans from the former CIS countries, do they know the German language, or is the problem again lack of language, ignorance - actually it's one of those things; you can't communicate, lack of understanding makes you afraid and fear brings violence, in quotation marks. That is actually for me such a spiral, which arises somewhere again and again. Would it be possible for the EU to say - to come back to the EU level - this topic; a threshold is always to learn the national language in order to have understanding and to get along with each other.	de	[53:37] Ich habe mal eine Frage an Udo. Die Deutschstämmigen aus den ehemaligen GUS-Ländern, beherrschen die die deutsche Sprache, oder ist mal wieder das Problem mangelnde Sprache, Unkenntnis – eigentlich ist es ja so eine Sache; man kann sich nicht verständigen, Unverständnis mach Angst und Angst bringt in Anführungsstrichen Gewalt. Das ist eigentlich so für mich so eine Spirale, die sich irgendwo immer wieder ergibt. Wäre es das die Möglichkeit, dass man vielleicht auch mal von der EU sagt – um mal auf EU-Ebene wieder zu kommen – diese Thema; eine Schwelle ist immer, die Landessprache zu lernen um Verständigung zu haben um ein Miteinander zu bekommen. [54:17]	0.0
They have two options: Either, they build a Fortress Europe, or they go into the country and help them - they have those two options. But hmm - who's going to do it?	de	[1:09:16] Sie haben zwei Möglichkeiten: Entweder, sie bauen eine Festung Europa, oder sie gehen in das Land und helfen denen – die zwei Möglichkeiten haben sie. Aber hm – wer macht‘s? [1:09:36]	0.0
I think we should make this an expert question: Why someone who first apparently met the conditions and then afterwards doesn't meet them. Item.	de	[51:12] Ich denke, wir sollten aus dieser Thematik eine Expertenfrage machen: Warum jemand, der zuerst offenbar die Bedingungen erfüllt hat und dann nachher nicht mehr diese erfüllt. Punkt. [51:22]	0.0
